price_id,instrument_id,price_dt,close_price,return_pct,volatility_proxy,currency_code,source_system_code
PRC000120230420,INS0001,2023-04-20,77.3759,0.003209,0.3209,INR,MOCK_FEED
PRC000120230421,INS0001,2023-04-21,76.4072,-0.01252,1.252,INR,MOCK_FEED
PRC000120230422,INS0001,2023-04-22,76.871,0.00607,0.607,USD,MOCK_FEED
PRC000120230423,INS0001,2023-04-23,77.5413,0.00872,0.872,USD,MOCK_FEED
PRC000120230424,INS0001,2023-04-24,77.5682,0.000348,0.0348,INR,MOCK_FEED
PRC000120230425,INS0001,2023-04-25,77.2799,-0.003717,0.3717,EUR,MOCK_FEED
PRC000120230426,INS0001,2023-04-26,78.3453,0.013786,1.3786,EUR,MOCK_FEED
PRC000120230427,INS0001,2023-04-27,78.7683,0.005399,0.5399,USD,MOCK_FEED
PRC000120230428,INS0001,2023-04-28,77.6275,-0.014482,1.4482,EUR,MOCK_FEED
PRC000120230429,INS0001,2023-04-29,76.873,-0.009719,0.9719,INR,MOCK_FEED
PRC000120230430,INS0001,2023-04-30,78.3185,0.018803,1.8803,EUR,MOCK_FEED
PRC000120230501,INS0001,2023-05-01,79.7013,0.017657,1.7657,USD,MOCK_FEED
PRC000120230502,INS0001,2023-05-02,79.0037,-0.008753,0.8753,GBP,MOCK_FEED
PRC000120230503,INS0001,2023-05-03,78.3616,-0.008128,0.8128,GBP,MOCK_FEED
PRC000120230504,INS0001,2023-05-04,78.8159,0.005799,0.5799,EUR,MOCK_FEED
PRC000120230505,INS0001,2023-05-05,80.287,0.018664,1.8664,GBP,MOCK_FEED
PRC000120230506,INS0001,2023-05-06,79.1785,-0.013806,1.3806,GBP,MOCK_FEED
PRC000120230507,INS0001,2023-05-07,80.0738,0.011307,1.1307,INR,MOCK_FEED
PRC000120230508,INS0001,2023-05-08,79.4579,-0.007693,0.7693,USD,MOCK_FEED
PRC000120230509,INS0001,2023-05-09,80.9459,0.018728,1.8728,USD,MOCK_FEED
PRC000120230510,INS0001,2023-05-10,77.6029,-0.0413,4.13,USD,MOCK_FEED
PRC000120230511,INS0001,2023-05-11,78.502,0.011587,1.1587,USD,MOCK_FEED
PRC000120230512,INS0001,2023-05-12,77.446,-0.013453,1.3453,EUR,MOCK_FEED
PRC000120230513,INS0001,2023-05-13,77.2185,-0.002938,0.2938,GBP,MOCK_FEED
PRC000120230514,INS0001,2023-05-14,78.6454,0.018479,1.8479,GBP,MOCK_FEED
PRC000120230515,INS0001,2023-05-15,77.3561,-0.016394,1.6394,GBP,MOCK_FEED
PRC000120230516,INS0001,2023-05-16,78.3502,0.012851,1.2851,GBP,MOCK_FEED
PRC000120230517,INS0001,2023-05-17,79.8717,0.019419,1.9419,USD,MOCK_FEED
PRC000120230518,INS0001,2023-05-18,79.3021,-0.007131,0.7131,USD,MOCK_FEED
PRC000120230519,INS0001,2023-05-19,78.2811,-0.012874,1.2874,EUR,MOCK_FEED
PRC000120230520,INS0001,2023-05-20,78.1334,-0.001887,0.1887,EUR,MOCK_FEED
PRC000120230521,INS0001,2023-05-21,80.1253,0.025494,2.5494,GBP,MOCK_FEED
PRC000120230522,INS0001,2023-05-22,80.0263,-0.001236,0.1236,GBP,MOCK_FEED
PRC000120230523,INS0001,2023-05-23,80.7057,0.00849,0.849,EUR,MOCK_FEED
PRC000120230524,INS0001,2023-05-24,80.0123,-0.008592,0.8592,INR,MOCK_FEED
PRC000120230525,INS0001,2023-05-25,78.3075,-0.021306,2.1306,GBP,MOCK_FEED
PRC000120230526,INS0001,2023-05-26,79.8446,0.019629,1.9629,USD,MOCK_FEED
PRC000120230527,INS0001,2023-05-27,78.8379,-0.012609,1.2609,INR,MOCK_FEED
PRC000120230528,INS0001,2023-05-28,79.0052,0.002123,0.2123,GBP,MOCK_FEED
PRC000120230529,INS0001,2023-05-29,78.7868,-0.002765,0.2765,EUR,MOCK_FEED
PRC000120230530,INS0001,2023-05-30,78.3384,-0.005692,0.5692,INR,MOCK_FEED
PRC000120230531,INS0001,2023-05-31,77.8137,-0.006697,0.6697,INR,MOCK_FEED
PRC000120230601,INS0001,2023-06-01,77.4229,-0.005023,0.5023,EUR,MOCK_FEED
PRC000120230602,INS0001,2023-06-02,77.2849,-0.001783,0.1783,USD,MOCK_FEED
PRC000120230603,INS0001,2023-06-03,77.9371,0.008439,0.8439,EUR,MOCK_FEED
PRC000120230604,INS0001,2023-06-04,76.9027,-0.013273,1.3273,INR,MOCK_FEED
PRC000120230605,INS0001,2023-06-05,77.485,0.007572,0.7572,USD,MOCK_FEED
PRC000120230606,INS0001,2023-06-06,78.089,0.007796,0.7796,GBP,MOCK_FEED
PRC000120230607,INS0001,2023-06-07,78.2965,0.002657,0.2657,USD,MOCK_FEED
PRC000120230608,INS0001,2023-06-08,79.0175,0.009208,0.9208,GBP,MOCK_FEED
PRC000120230609,INS0001,2023-06-09,79.4194,0.005086,0.5086,INR,MOCK_FEED
PRC000120230610,INS0001,2023-06-10,77.5078,-0.02407,2.407,EUR,MOCK_FEED
PRC000120230611,INS0001,2023-06-11,78.1494,0.008278,0.8278,EUR,MOCK_FEED
PRC000120230612,INS0001,2023-06-12,77.8707,-0.003567,0.3567,EUR,MOCK_FEED
PRC000120230613,INS0001,2023-06-13,78.0557,0.002376,0.2376,GBP,MOCK_FEED
PRC000120230614,INS0001,2023-06-14,77.9446,-0.001423,0.1423,INR,MOCK_FEED
PRC000120230615,INS0001,2023-06-15,78.5781,0.008128,0.8128,EUR,MOCK_FEED
PRC000120230616,INS0001,2023-06-16,76.8263,-0.022294,2.2294,GBP,MOCK_FEED
PRC000120230617,INS0001,2023-06-17,77.6311,0.010475,1.0475,INR,MOCK_FEED
PRC000120230618,INS0001,2023-06-18,78.8809,0.0161,1.61,USD,MOCK_FEED
PRC000120230619,INS0001,2023-06-19,79.3359,0.005768,0.5768,INR,MOCK_FEED
PRC000120230620,INS0001,2023-06-20,78.8435,-0.006206,0.6206,GBP,MOCK_FEED
PRC000120230621,INS0001,2023-06-21,78.3022,-0.006865,0.6865,EUR,MOCK_FEED
PRC000120230622,INS0001,2023-06-22,79.9076,0.020503,2.0503,EUR,MOCK_FEED
PRC000120230623,INS0001,2023-06-23,80.5609,0.008175,0.8175,GBP,MOCK_FEED
PRC000120230624,INS0001,2023-06-24,80.6869,0.001565,0.1565,GBP,MOCK_FEED
PRC000120230625,INS0001,2023-06-25,82.3831,0.021022,2.1022,GBP,MOCK_FEED
